Epoch 900: TrainLoss=4.295771e+01, Pen=1.506860e-02, EvalMSE=5.839351e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.099237e+01, Pen=1.112649e-02, EvalMSE=5.567657e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.884811e+01, Pen=8.590692e-03, EvalMSE=5.285208e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.675150e+01, Pen=6.319655e-03, EvalMSE=4.691227e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.432042e+01, Pen=3.554146e-03, EvalMSE=3.722115e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.234451e+01, Pen=3.573299e-03, EvalMSE=3.426503e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.048812e+01, Pen=3.698747e-03, EvalMSE=3.193089e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.865007e+01, Pen=3.859126e-03, EvalMSE=3.002052e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.711892e+01, Pen=4.120814e-03, EvalMSE=2.799619e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.589428e+01, Pen=4.605224e-03, EvalMSE=2.653900e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.485859e+01, Pen=5.230057e-03, EvalMSE=2.565829e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.390852e+01, Pen=5.698778e-03, EvalMSE=2.471889e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.316757e+01, Pen=6.472129e-03, EvalMSE=2.433238e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.251703e+01, Pen=7.432107e-03, EvalMSE=2.456756e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.195834e+01, Pen=8.387466e-03, EvalMSE=2.468710e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.146276e+01, Pen=9.319339e-03, EvalMSE=2.474370e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.101802e+01, Pen=1.019094e-02, EvalMSE=2.473323e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.060961e+01, Pen=1.090667e-02, EvalMSE=2.443879e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.022033e+01, Pen=1.134364e-02, EvalMSE=2.359510e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.985267e+01, Pen=1.181905e-02, EvalMSE=2.317972e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.949707e+01, Pen=1.215911e-02, EvalMSE=2.250580e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.788701e+01, Pen=2.130407e-03, EvalMSE=1.263013e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.687090e+01, Pen=7.905122e-04, EvalMSE=1.374389e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.630917e+01, Pen=4.315380e-04, EvalMSE=1.258954e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.471199e+01, Pen=1.165827e-04, EvalMSE=1.112767e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.364591e+01, Pen=1.304877e-04, EvalMSE=1.052888e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.385294e+02, Pen=2.322886e+00, EvalMSE=6.865579e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.438925e+02, Pen=9.851428e-03, EvalMSE=7.715745e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.235683e+01, Pen=2.278659e-03, EvalMSE=9.459413e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.498535e+01, Pen=6.045647e-04, EvalMSE=7.572190e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.740742e+01, Pen=2.897924e-04, EvalMSE=6.879210e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.174657e+01, Pen=2.468256e-04, EvalMSE=6.250984e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.816641e+01, Pen=2.695608e-04, EvalMSE=5.704398e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.538708e+01, Pen=3.224056e-04, EvalMSE=5.309899e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=5.272888e+01, Pen=3.984668e-04, EvalMSE=5.013816e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.882258e+01, Pen=5.941082e-04, EvalMSE=4.768520e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.512341e+01, Pen=7.397173e-04, EvalMSE=4.288885e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.075270e+01, Pen=1.110347e-03, EvalMSE=4.358359e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.688228e+01, Pen=1.977437e-03, EvalMSE=4.420777e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.305043e+01, Pen=4.007269e-03, EvalMSE=4.688582e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.999315e+01, Pen=4.598210e-03, EvalMSE=4.271038e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.747335e+01, Pen=5.099449e-03, EvalMSE=3.846141e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.533275e+01, Pen=5.304492e-03, EvalMSE=3.382004e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.282421e+01, Pen=5.384264e-03, EvalMSE=2.854199e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.106404e+01, Pen=4.966130e-03, EvalMSE=2.422929e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.948432e+01, Pen=4.170012e-03, EvalMSE=2.107092e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.818427e+01, Pen=3.231894e-03, EvalMSE=1.925870e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.560633e+01, Pen=9.984610e-04, EvalMSE=2.102873e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.364603e+01, Pen=1.321855e-04, EvalMSE=2.501492e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.225060e+01, Pen=1.093251e-04, EvalMSE=2.568815e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.103553e+01, Pen=9.220701e-05, EvalMSE=2.589262e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=9.883184e+00, Pen=7.998349e-05, EvalMSE=2.534633e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=8.709595e+00, Pen=7.379249e-05, EvalMSE=2.391303e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=7.711585e+00, Pen=6.614026e-05, EvalMSE=2.286488e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=6.859357e+00, Pen=6.089032e-05, EvalMSE=2.187254e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=6.128214e+00, Pen=5.789589e-05, EvalMSE=2.065945e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=5.481124e+00, Pen=6.188542e-05, EvalMSE=1.889810e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=4.831589e+00, Pen=1.149929e-04, EvalMSE=1.561030e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=4.287168e+00, Pen=5.775689e-04, EvalMSE=1.228011e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=3.951775e+00, Pen=8.386848e-04, EvalMSE=1.100958e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=3.707923e+00, Pen=1.125903e-03, EvalMSE=1.121359e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.345700e+02, Pen=1.717336e+00, EvalMSE=6.994248e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.410146e+02, Pen=1.948513e-03, EvalMSE=8.128485e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.531543e+01, Pen=3.646063e-03, EvalMSE=9.953290e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.774075e+01, Pen=1.790033e-03, EvalMSE=8.268862e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.030938e+01, Pen=1.003702e-03, EvalMSE=7.159021e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.608593e+01, Pen=8.230711e-04, EvalMSE=6.442798e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
