file,mixture,label,h1_file,epoch,train_loss,penalty,eval_mse,h1,h_n,lr,loss
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2300,0.02203942,,0.0002126052,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2400,0.01942117,,0.0002108377,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2500,0.01731727,,0.0002096971,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2600,0.01561759,,0.0002090793,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2700,0.01422991,,0.0002088999,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2800,0.01307168,,0.0002090901,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2900,0.01203575,,0.0002096103,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3000,0.01088762,,0.0002105128,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3100,0.009393329,,0.0002118571,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3200,0.007930158,,0.0002133031,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3300,0.006844473,,0.0002144987,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3400,0.00604759,,0.000215482,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,0,14.13462,,0.000648381,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,100,2.768664,,0.0006831839,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,200,1.566225,,0.000650658,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,300,1.206483,,0.0006010986,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,400,0.9415168,,0.0005558846,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,500,0.6743404,,0.0005020651,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,600,0.4546293,,0.0004487606,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,700,0.3120711,,0.0004087357,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,800,0.2226322,,0.0003848005,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,900,0.1619867,,0.0003700814,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1000,0.1242808,,0.0003579243,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1100,0.09990118,,0.0003481188,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1200,0.08079258,,0.0003392989,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1300,0.06489892,,0.0003290853,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1400,0.05292036,,0.0003185982,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1500,0.04391522,,0.0003089117,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1600,0.03684845,,0.0002997848,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1700,0.03116568,,0.0002911868,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1800,0.02652896,,0.0002831759,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1900,0.02271063,,0.0002757784,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2000,0.01954549,,0.000269002,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2100,0.0169067,,0.0002628518,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2200,0.01469438,,0.0002573315,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2300,0.01282971,,0.0002524389,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2400,0.01125035,,0.0002481591,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2500,0.00990661,,0.0002444601,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2600,0.008758399,,0.0002412957,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2700,0.007773609,,0.0002386112,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2800,0.006927075,,0.000236351,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2900,0.006199447,,0.0002344634,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3000,0.005575464,,0.0002329037,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3100,0.005041546,,0.0002316342,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3200,0.004583904,,0.0002306227,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3300,0.00418795,,0.0002298387,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3400,0.003839085,,0.0002292518,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,0,13.33104,,0.0007002501,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,100,2.724746,,0.000729053,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,200,1.725277,,0.0006580757,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,300,1.183865,,0.0005645499,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,400,0.7903221,,0.0004910644,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,500,0.5288787,,0.0004262838,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,600,0.3638564,,0.0003726016,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,700,0.2499385,,0.0003393618,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,800,0.1713306,,0.0003259342,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,900,0.125296,,0.0003177912,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1000,0.09590881,,0.000310494,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1100,0.07521008,,0.0003035141,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1200,0.05987293,,0.0002963568,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1300,0.0481135,,0.0002886691,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1400,0.03879638,,0.0002807416,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1500,0.03135203,,0.0002731891,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1600,0.02538812,,0.0002663397,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1700,0.02062467,,0.0002602604,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1800,0.01691499,,0.0002550357,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1900,0.01408056,,0.0002507674,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2000,0.01190476,,0.0002474693,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2100,0.0102075,,0.0002450301,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2200,0.008862199,,0.0002432745,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2300,0.0077827,,0.0002420316,12.0,1.35011,0.005,mse
