mixture,architecture,h1,lambda,mean_val_nll,std_val_nll,n_runs
3,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.0,4.001720762252807,0.011338201008080737,10
3,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.01,4.004671907424926,0.015431509249138501,10
3,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.1,4.002907180786133,0.008351592278637533,10
3,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.0,4.022507286071777,0.003383361366822491,10
3,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.01,4.022415733337402,0.0023366729401374246,10
3,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.1,4.0275053024292,0.008677926860257463,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.0,4.488194370269776,0.11019289769294681,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.01,4.468505048751831,0.0791869761621899,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.1,4.507009077072143,0.059909332031659386,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.0,3.980165195465088,0.005115353750745889,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.01,3.9831724166870117,0.0088536261207591,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.9769055128097532,0.007414826074247569,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.989569878578186,0.004854756217174517,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.9893658638000487,0.0023492790777351123,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.989203429222107,0.0031667903059704014,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.0,4.019796752929688,0.0021259732458630753,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.01,4.017990779876709,0.001557073670796426,10
3,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.1,4.017703294754028,0.0021768810708449166,10
3,MLP_30-20_sigmoid_outReLU,2.0,0.0,4.4647904396057125,0.08164499527061853,10
3,MLP_30-20_sigmoid_outReLU,2.0,0.01,4.459203910827637,0.10769116613775609,10
3,MLP_30-20_sigmoid_outReLU,2.0,0.1,4.50281777381897,0.09278388953859001,10
3,MLP_30-20_sigmoid_outReLU,7.0,0.0,3.981871247291565,0.009485188008485457,10
3,MLP_30-20_sigmoid_outReLU,7.0,0.01,3.983311891555786,0.0071109960166682905,10
3,MLP_30-20_sigmoid_outReLU,7.0,0.1,3.9789592027664185,0.00912641640360458,10
3,MLP_30-20_sigmoid_outReLU,12.0,0.0,3.992258810997009,0.0035561864819752096,10
3,MLP_30-20_sigmoid_outReLU,12.0,0.01,3.9901924610137938,0.004276677736921698,10
3,MLP_30-20_sigmoid_outReLU,12.0,0.1,3.9895156383514405,0.004850776696740962,10
3,MLP_30-20_sigmoid_outReLU,16.0,0.0,4.019004678726196,0.0018056506958117578,10
3,MLP_30-20_sigmoid_outReLU,16.0,0.01,4.020188236236573,0.0018340089281327523,10
3,MLP_30-20_sigmoid_outReLU,16.0,0.1,4.018373441696167,0.0009462929324132251,10
3,MLP_20_sigmoid_outReLU,2.0,0.0,5.414381837844848,0.1261100152770655,10
3,MLP_20_sigmoid_outReLU,2.0,0.01,5.465582609176636,0.1685111316066949,10
3,MLP_20_sigmoid_outReLU,2.0,0.1,5.457694816589355,0.15491246720713617,10
3,MLP_20_sigmoid_outReLU,7.0,0.0,4.081373453140259,0.04503211307148818,10
3,MLP_20_sigmoid_outReLU,7.0,0.01,4.067616367340088,0.02768691350918556,10
3,MLP_20_sigmoid_outReLU,7.0,0.1,4.05565915107727,0.021291984247453852,10
3,MLP_20_sigmoid_outReLU,12.0,0.0,4.008028674125671,0.0077872966229687954,10
3,MLP_20_sigmoid_outReLU,12.0,0.01,4.013363146781922,0.018600190869080834,10
3,MLP_20_sigmoid_outReLU,12.0,0.1,4.007251763343811,0.011258259697548827,10
3,MLP_20_sigmoid_outReLU,16.0,0.0,4.026270580291748,0.006901755570131093,10
3,MLP_20_sigmoid_outReLU,16.0,0.01,4.024922037124634,0.004627415615345584,10
3,MLP_20_sigmoid_outReLU,16.0,0.1,4.026417255401611,0.005698245822481973,10
